Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Newborn affected by premature rupture of membranes,No,Yes,Extreme Obesity III > 39.9,499 grams or less,10.0,67.0,150.00 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,No,Underweight <18.5,499 grams or less,13.0,95.0,138.52 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,74.0,880.0,83.54,2017
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,500 - 749 grams,15.0,352.0,42.90 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,62.0,721.0,86.61,2017
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,73.0,593.0,122.29,2017
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,33.0,347.0,96.04,2017
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,38.0,291.0,131.3,2017
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,17.0,283.0,60.34 (Unreliable),2017
Newborn affected by multiple pregnancy,No,Yes,Normal 18.5-24.9,499 grams or less,12.0,270.0,44.84 (Unreliable),2017
Newborn affected by multiple pregnancy,No,No,Normal 18.5-24.9,499 grams or less,15.0,880.0,17.11 (Unreliable),2017
Newborn affected by multiple pregnancy,No,No,Obesity I 30.0-34.9,499 grams or less,15.0,593.0,25.55 (Unreliable),2017
Newborn affected by other maternal complications of pregnancy,No,No,Normal 18.5-24.9,499 grams or less,11.0,880.0,12.52 (Unreliable),2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,45.0,880.0,51.29,2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,500 - 749 grams,11.0,352.0,31.33 (Unreliable),2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,24.0,721.0,33.55,2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,593.0,18.74 (Unreliable),2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Extreme Obesity III > 39.9,499 grams or less,10.0,291.0,34.42 (Unreliable),2017
Newborn affected by other forms of placental separation and haemorrhage,No,No,Unknown or Not Stated,499 grams or less,12.0,283.0,42.53 (Unreliable),2017
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,19.0,270.0,70.84 (Unreliable),2017
Newborn affected by chorioamnionitis,No,Yes,Overweight 25.0-29.9,499 grams or less,15.0,193.0,78.20 (Unreliable),2017
Newborn affected by chorioamnionitis,No,Yes,Obesity I 30.0-34.9,499 grams or less,13.0,151.0,87.23 (Unreliable),2017
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,41.0,880.0,46.81,2017
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,500 - 749 grams,10.0,352.0,28.60 (Unreliable),2017
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,23.0,721.0,32.05,2017
Newborn affected by chorioamnionitis,No,No,Obesity I 30.0-34.9,499 grams or less,23.0,593.0,39.1,2017
Newborn affected by chorioamnionitis,No,No,Unknown or Not Stated,499 grams or less,11.0,283.0,39.11 (Unreliable),2017
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,29.0,940.0,31.1,2017
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,14.0,97.0,144.85 (Unreliable),2017
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,22.0,726.0,30.46,2017
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,23.0,565.0,40.83,2017
Extreme immaturity,Yes,Yes,Obesity II 35.0-39.9,500 - 749 grams,12.0,349.0,34.48 (Unreliable),2017
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,41.0,268.0,154.2,2017
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,58.0,1254.0,46.45,2017
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,39.0,220.0,178.17,2017
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,28.0,994.0,28.25,2017
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,23.0,165.0,139.74,2017
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,25.0,744.0,33.76,2017
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,17.0,100.0,171.25 (Unreliable),2017
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,500 - 749 grams,11.0,403.0,27.45 (Unreliable),2017
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,20.0,88.0,228.74,2017
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,18.0,352.0,51.40 (Unreliable),2017
Extreme immaturity,Yes,No,Unknown or Not Stated,499 grams or less,14.0,59.0,237.99 (Unreliable),2017
Extreme immaturity,Yes,No,Unknown or Not Stated,500 - 749 grams,12.0,187.0,64.22 (Unreliable),2017
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,86.0,270.0,320.11,2017
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,28.0,138.0,204.13,2017
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,91.0,193.0,473.7,2017
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,24.0,99.0,244.19,2017
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,55.0,151.0,365.42,2017
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,500 - 749 grams,14.0,82.0,171.31 (Unreliable),2017
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,21.0,98.0,215.32,2017
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,500 - 749 grams,12.0,34.0,355.97 (Unreliable),2017
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,22.0,67.0,329.39,2017
Extreme immaturity,No,Yes,Unknown or Not Stated,499 grams or less,15.0,33.0,457.55 (Unreliable),2017
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,36.0,95.0,381.09,2017
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,317.0,880.0,360.35,2017
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,69.0,352.0,197.04,2017
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,295.0,721.0,408.63,2017
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,55.0,265.0,209.4,2017
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,212.0,593.0,357.84,2017
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,37.0,176.0,211.32,2017
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,157.0,347.0,451.75,2017
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,21.0,98.0,216.03,2017
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,107.0,291.0,369.38,2017
Extreme immaturity,No,No,Extreme Obesity III > 39.9,500 - 749 grams,18.0,78.0,232.48 (Unreliable),2017
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,117.0,283.0,414.64,2017
Extreme immaturity,No,No,Unknown or Not Stated,500 - 749 grams,22.0,81.0,272.72,2017
Other preterm infants,Yes,No,Normal 18.5-24.9,500 - 749 grams,14.0,1254.0,11.17 (Unreliable),2017
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,24.0,270.0,89.3,2017
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,14.0,193.0,72.97 (Unreliable),2017
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,14.0,151.0,93.25 (Unreliable),2017
Other preterm infants,No,Yes,Obesity II 35.0-39.9,499 grams or less,16.0,98.0,163.92 (Unreliable),2017
Other preterm infants,No,Yes,Extreme Obesity III > 39.9,499 grams or less,12.0,67.0,180.34 (Unreliable),2017
Other preterm infants,No,No,Underweight <18.5,499 grams or less,10.0,95.0,105.86 (Unreliable),2017
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,84.0,880.0,95.96,2017
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,24.0,352.0,68.63,2017
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,77.0,721.0,107.15,2017
Other preterm infants,No,No,Overweight 25.0-29.9,500 - 749 grams,27.0,265.0,102.83,2017
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,62.0,593.0,105.1,2017
Other preterm infants,No,No,Obesity I 30.0-34.9,500 - 749 grams,14.0,176.0,79.82 (Unreliable),2017
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,36.0,347.0,104.06,2017
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,43.0,291.0,148.37,2017
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,41.0,283.0,145.14,2017
"Intrauterine hypoxia, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1254.0,9.64 (Unreliable),2017
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,23.0,940.0,24.62,2017
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,19.0,726.0,26.34 (Unreliable),2017
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,15.0,565.0,26.67 (Unreliable),2017
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,28.0,1254.0,22.45,2017
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,17.0,994.0,17.13 (Unreliable),2017
Respiratory distress syndrome of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,744.0,14.85 (Unreliable),2017
Bronchopulmonary dysplasia originating in the perinatal period,Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1254.0,9.58 (Unreliable),2017
Primary atelectasis of newborn,No,No,Normal 18.5-24.9,499 grams or less,14.0,880.0,16.01 (Unreliable),2017
Neonatal cardiac failure,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,12.0,940.0,12.84 (Unreliable),2017
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,500 - 749 grams,14.0,1254.0,11.20 (Unreliable),2017
Neonatal cardiac failure,No,No,Normal 18.5-24.9,499 grams or less,12.0,880.0,13.76 (Unreliable),2017
Neonatal cardiac dysrhythmia,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,726.0,13.81 (Unreliable),2017
Neonatal cardiac dysrhythmia,Yes,No,Normal 18.5-24.9,500 - 749 grams,12.0,1254.0,9.59 (Unreliable),2017
Neonatal cardiac dysrhythmia,No,No,Normal 18.5-24.9,499 grams or less,24.0,880.0,27.49,2017
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,23.0,721.0,32.12,2017
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,15.0,593.0,25.50 (Unreliable),2017
Neonatal cardiac dysrhythmia,No,No,Obesity II 35.0-39.9,499 grams or less,10.0,347.0,28.99 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,21.0,940.0,22.4,2017
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,750 - 999 grams,14.0,1277.0,10.98 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,12.0,726.0,16.73 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,13.0,565.0,23.18 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,499 grams or less,12.0,268.0,45.07 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,26.0,1254.0,20.82,2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,750 - 999 grams,15.0,1701.0,8.86 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,15.0,994.0,15.12 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,750 - 999 grams,13.0,1243.0,10.51 (Unreliable),2017
"Bacterial sepsis of newborn, unspecified",Yes,No,Obesity I 30.0-34.9,500 - 749 grams,11.0,744.0,14.82 (Unreliable),2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,21.0,940.0,22.48,2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,12.0,726.0,16.59 (Unreliable),2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,13.0,1254.0,10.43 (Unreliable),2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,13.0,1701.0,7.71 (Unreliable),2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,18.0,994.0,18.28 (Unreliable),2017
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,10.0,744.0,13.51 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,13.0,940.0,13.85 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,750 - 999 grams,14.0,1277.0,10.97 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,10.0,726.0,13.81 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,11.0,1254.0,8.80 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,1000 - 1249 grams,10.0,2092.0,4.78 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,11.0,994.0,11.07 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,750 - 999 grams,11.0,1243.0,8.88 (Unreliable),2017
Necrotizing enterocolitis of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,14.0,744.0,18.84 (Unreliable),2017
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,16.0,16069.0,1.00 (Unreliable),2017
Hypoxic ischemic encephalopathy of newborn,Yes,No,Obesity I 30.0-34.9,3500 - 3999 grams,10.0,4480.0,2.23 (Unreliable),2017
Anencephaly,No,No,Normal 18.5-24.9,1000 - 1249 grams,11.0,347.0,31.87 (Unreliable),2017
Anencephaly,No,No,Normal 18.5-24.9,1500 - 1999 grams,15.0,3470.0,4.35 (Unreliable),2017
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,25.0,41610.0,0.61,2017
Anencephaly,No,No,Normal 18.5-24.9,2500 - 2999 grams,15.0,226913.0,0.07 (Unreliable),2017
Anencephaly,No,No,Overweight 25.0-29.9,1500 - 1999 grams,12.0,1972.0,6.12 (Unreliable),2017
Anencephaly,No,No,Obesity I 30.0-34.9,1500 - 1999 grams,10.0,1170.0,8.65 (Unreliable),2017
Hypoplastic left heart syndrome,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,11.0,14689.0,0.75 (Unreliable),2017
Hypoplastic left heart syndrome,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,10.0,16069.0,0.62 (Unreliable),2017
Hypoplastic left heart syndrome,Yes,No,Overweight 25.0-29.9,3000 - 3499 grams,13.0,10136.0,1.29 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,12.0,10449.0,1.16 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,17.0,14831.0,1.15 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,16.0,14689.0,1.10 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,3000 - 3499 grams,17.0,16069.0,1.06 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,2500 - 2999 grams,12.0,9062.0,1.33 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Obesity I 30.0-34.9,2500 - 2999 grams,10.0,5445.0,1.84 (Unreliable),2017
"Congenital malformation of heart, unspecified",Yes,No,Obesity I 30.0-34.9,3000 - 3499 grams,12.0,5985.0,2.01 (Unreliable),2017
"Congenital malformation of heart, unspecified",No,No,Normal 18.5-24.9,3000 - 3499 grams,13.0,491335.0,0.03 (Unreliable),2017
"Congenital malformation of heart, unspecified",No,No,Overweight 25.0-29.9,3000 - 3499 grams,11.0,275284.0,0.04 (Unreliable),2017
"Congenital malformation, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,10.0,3470.0,2.91 (Unreliable),2017
"Edwards syndrome, unspecified",Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,13.0,8199.0,1.59 (Unreliable),2017
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,14.0,10449.0,1.35 (Unreliable),2017
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,16.0,14831.0,1.09 (Unreliable),2017
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,14.0,6384.0,2.20 (Unreliable),2017
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,13.0,8897.0,1.47 (Unreliable),2017
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,16.0,3470.0,4.62 (Unreliable),2017
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,2000 - 2499 grams,14.0,41610.0,0.34 (Unreliable),2017
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1500 - 1999 grams,16.0,1972.0,8.18 (Unreliable),2017
"Patau syndrome, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,12.0,14689.0,0.82 (Unreliable),2017
"Patau syndrome, unspecified",No,No,Normal 18.5-24.9,2000 - 2499 grams,14.0,41610.0,0.34 (Unreliable),2017
"Patau syndrome, unspecified",No,No,Overweight 25.0-29.9,2500 - 2999 grams,12.0,114550.0,0.11 (Unreliable),2017
Sudden infant death syndrome - SIDS,Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,12.0,8199.0,1.47 (Unreliable),2017
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,10.0,10449.0,0.96 (Unreliable),2017
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,14831.0,0.81 (Unreliable),2017
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,2500 - 2999 grams,11.0,14689.0,0.75 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,16.0,17087.0,0.94 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,28.0,68267.0,0.41,2017
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,32.0,132042.0,0.24,2017
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,23.0,82657.0,0.28,2017
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,19.0,38152.0,0.50 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,30.0,81305.0,0.37,2017
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,15.0,59655.0,0.25 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,12.0,21964.0,0.55 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,14.0,46985.0,0.30 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,2500 - 2999 grams,11.0,11190.0,0.99 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,10.0,23731.0,0.42 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Underweight <18.5,2500 - 2999 grams,14.0,25688.0,0.55 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2000 - 2499 grams,35.0,41610.0,0.84,2017
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2500 - 2999 grams,94.0,226913.0,0.42,2017
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3000 - 3499 grams,117.0,491335.0,0.24,2017
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3500 - 3999 grams,42.0,305879.0,0.14,2017
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2000 - 2499 grams,15.0,21111.0,0.71 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2500 - 2999 grams,54.0,114550.0,0.47,2017
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3000 - 3499 grams,67.0,275284.0,0.24,2017
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3500 - 3999 grams,43.0,200267.0,0.22,2017
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,42.0,59611.0,0.71,2017
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,46.0,143311.0,0.32,2017
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,22.0,111139.0,0.2,2017
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,4000 - 4499 grams,11.0,31615.0,0.35 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,11.0,27420.0,0.40 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,30.0,65878.0,0.46,2017
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,18.0,52967.0,0.34 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,23.0,42750.0,0.54,2017
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,14.0,35354.0,0.40 (Unreliable),2017
Sudden infant death syndrome - SIDS,No,No,Unknown or Not Stated,3000 - 3499 grams,10.0,21500.0,0.47 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,14.0,10449.0,1.34 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,10.0,8897.0,1.12 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,17087.0,0.70 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,31.0,68267.0,0.45,2017
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,30.0,132042.0,0.23,2017
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,10.0,82657.0,0.12 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,17.0,38152.0,0.45 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,22.0,81305.0,0.27,2017
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,14.0,59655.0,0.24 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,14.0,21964.0,0.64 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,11.0,46985.0,0.23 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,10.0,23731.0,0.42 (Unreliable),2017
Other ill-defined and unspecified causes of mortality,No,No,Underweight <18.5,2500 - 2999 grams,10.0,25688.0,0.39 (Unreliable),2017
