Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,200 - 499,1 - 23,23,65,353.84615384615387,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,0 - 1,15,249,60.24096385542169,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,1 - 23,26,249,104.41767068273091,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,24 - 144,10,249,40.16064257028113,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,189 - 648,11,249,44.17670682730924,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,0 - 1,54,467,115.63169164882227,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,1 - 23,54,467,115.63169164882227,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,24 - 144,11,467,23.554603854389722,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,189 - 648,10,467,21.41327623126338,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,0 - 1,54,1927,28.02283341982356,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,1 - 23,54,1927,28.02283341982356,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,24 - 144,54,1927,28.02283341982356,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,189 - 648,54,1927,28.02283341982356,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,672 - 8736,40,1927,20.75765438505449,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,0 - 1,11,2364,4.653130287648054,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,1 - 23,11,2364,4.653130287648054,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,24 - 144,16,2364,6.768189509306261,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,189 - 648,29,2364,12.267343485617596,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1500 - 1999,24 - 144,11,4727,2.3270573302305904,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1500 - 1999,189 - 648,11,4727,2.3270573302305904,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,2000 - 2499,24 - 144,13,15710,0.8274984086569065,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,2500 - 2999,24 - 144,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,3000 - 3499,24 - 144,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,3000 - 3499,189 - 648,12,31891,0.3762817095732338,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,200 - 499,0 - 1,54,267,202.24719101123594,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,200 - 499,1 - 23,54,267,202.24719101123594,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,200 - 499,24 - 144,20,267,74.90636704119851,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,0 - 1,50,1136,44.01408450704225,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,1 - 23,54,1136,47.53521126760563,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,24 - 144,54,1136,47.53521126760563,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,189 - 648,54,1136,47.53521126760563,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,672 - 8736,21,1136,18.485915492957748,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,1000 - 1499,189 - 648,24,1324,18.12688821752266,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,1500 - 1999,1 - 23,10,2665,3.75234521575985,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,200 - 499,0 - 1,12,50,240.0,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,200 - 499,1 - 23,17,50,340.0,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,500 - 999,1 - 23,20,165,121.21212121212122,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,500 - 999,189 - 648,11,165,66.66666666666667,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,200 - 499,0 - 1,26,67,388.05970149253733,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,200 - 499,1 - 23,32,67,477.6119402985075,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,0 - 1,20,137,145.985401459854,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,1 - 23,28,137,204.37956204379563,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,24 - 144,12,137,87.59124087591242,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,200 - 499,0 - 1,18,49,367.34693877551024,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,200 - 499,1 - 23,20,49,408.16326530612247,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,500 - 999,1 - 23,14,223,62.780269058295964,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,500 - 999,24 - 144,18,223,80.71748878923766,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,200 - 499,0 - 1,54,313,172.52396166134184,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,200 - 499,1 - 23,54,313,172.52396166134184,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,200 - 499,24 - 144,13,313,41.53354632587859,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,0 - 1,42,1179,35.62340966921119,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,1 - 23,54,1179,45.80152671755725,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,24 - 144,54,1179,45.80152671755725,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,189 - 648,51,1179,43.25699745547074,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,672 - 8736,22,1179,18.6598812553011,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,1000 - 1499,189 - 648,10,1465,6.825938566552901,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,1500 - 1999,1 - 23,11,3224,3.411910669975186,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,2500 - 2999,24 - 144,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,2500 - 2999,189 - 648,11,31891,0.344924900442131,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,0 - 1,54,694,77.80979827089338,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,1 - 23,54,694,77.80979827089338,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,24 - 144,36,694,51.87319884726225,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,189 - 648,18,694,25.936599423631126,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,0 - 1,54,2490,21.686746987951807,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,1 - 23,54,2490,21.686746987951807,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,24 - 144,54,2490,21.686746987951807,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,189 - 648,54,2490,21.686746987951807,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,672 - 8736,43,2490,17.269076305220885,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,1 - 23,24,2946,8.146639511201629,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,24 - 144,24,2946,8.146639511201629,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,189 - 648,22,2946,7.46775288526816,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1500 - 1999,1 - 23,18,6162,2.9211295034079843,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1500 - 1999,189 - 648,10,6162,1.6228497241155468,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2000 - 2499,24 - 144,15,20741,0.7232052456487151,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2000 - 2499,189 - 648,12,20741,0.5785641965189721,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2500 - 2999,24 - 144,15,31891,0.47035213696654227,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2500 - 2999,189 - 648,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,3000 - 3499,1 - 23,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,3500 - 3999,24 - 144,14,31891,0.4389953278354395,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,3500 - 3999,189 - 648,12,31891,0.3762817095732338,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,200 - 499,0 - 1,54,333,162.16216216216216,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,200 - 499,1 - 23,54,333,162.16216216216216,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,0 - 1,46,1238,37.156704361873985,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,1 - 23,54,1238,43.61873990306947,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,24 - 144,54,1238,43.61873990306947,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,189 - 648,54,1238,43.61873990306947,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,672 - 8736,18,1238,14.539579967689823,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,1000 - 1499,189 - 648,10,1436,6.963788300835654,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,2500 - 2999,189 - 648,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,3000 - 3499,189 - 648,13,31891,0.40763851870433665,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,200 - 499,0 - 1,15,63,238.09523809523807,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,200 - 499,1 - 23,26,63,412.69841269841265,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,0 - 1,12,240,50.0,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,1 - 23,18,240,75.0,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,24 - 144,19,240,79.16666666666666,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,189 - 648,11,240,45.83333333333333,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,200 - 499,0 - 1,42,129,325.58139534883725,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,200 - 499,1 - 23,54,129,418.60465116279073,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,0 - 1,28,184,152.17391304347828,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,1 - 23,47,184,255.43478260869568,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,24 - 144,15,184,81.52173913043478,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,200 - 499,0 - 1,14,57,245.6140350877193,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,200 - 499,1 - 23,35,57,614.0350877192983,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,0 - 1,13,197,65.98984771573605,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,1 - 23,16,197,81.21827411167511,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,24 - 144,10,197,50.76142131979695,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,200 - 499,0 - 1,31,135,229.62962962962962,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,200 - 499,1 - 23,54,135,400.0,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,0 - 1,22,609,36.1247947454844,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,1 - 23,49,609,80.45977011494253,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,24 - 144,35,609,57.47126436781609,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,189 - 648,34,609,55.82922824302135,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,0 - 1,54,544,99.26470588235294,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,1 - 23,54,544,99.26470588235294,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,24 - 144,25,544,45.95588235294118,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,189 - 648,13,544,23.89705882352941,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,0 - 1,54,1908,28.30188679245283,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,1 - 23,54,1908,28.30188679245283,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,24 - 144,54,1908,28.30188679245283,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,189 - 648,54,1908,28.30188679245283,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,672 - 8736,34,1908,17.81970649895178,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,1 - 23,12,2347,5.112910097997443,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,24 - 144,18,2347,7.6693651469961654,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,189 - 648,22,2347,9.373668512995312,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1500 - 1999,24 - 144,10,4779,2.092487968194183,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1500 - 1999,189 - 648,10,4779,2.092487968194183,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,1 - 23,13,31891,0.40763851870433665,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,24 - 144,12,31891,0.3762817095732338,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,189 - 648,10,31891,0.3135680913110282,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,3000 - 3499,24 - 144,11,31891,0.344924900442131,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,3000 - 3499,189 - 648,14,31891,0.4389953278354395,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,3500 - 3999,189 - 648,13,31891,0.40763851870433665,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,0 - 1,54,398,135.678391959799,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,1 - 23,54,398,135.678391959799,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,24 - 144,16,398,40.20100502512563,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,189 - 648,13,398,32.663316582914575,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,0 - 1,52,1455,35.738831615120276,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,1 - 23,54,1455,37.11340206185567,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,24 - 144,54,1455,37.11340206185567,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,189 - 648,54,1455,37.11340206185567,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,672 - 8736,18,1455,12.371134020618555,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,0 - 1,54,280,192.85714285714286,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,1 - 23,54,280,192.85714285714286,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,24 - 144,22,280,78.57142857142857,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,189 - 648,11,280,39.285714285714285,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,0 - 1,37,1192,31.040268456375838,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,1 - 23,54,1192,45.30201342281879,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,24 - 144,54,1192,45.30201342281879,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,189 - 648,54,1192,45.30201342281879,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,672 - 8736,17,1192,14.261744966442953,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1000 - 1499,1 - 23,13,1556,8.354755784061696,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1000 - 1499,24 - 144,10,1556,6.426735218508997,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1500 - 1999,24 - 144,12,3323,3.611194703581101,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,200 - 499,0 - 1,43,121,355.3719008264463,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,200 - 499,1 - 23,42,121,347.10743801652893,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,0 - 1,15,197,76.14213197969544,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,1 - 23,54,197,274.11167512690355,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,24 - 144,16,197,81.21827411167511,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,200 - 499,0 - 1,16,39,410.2564102564102,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,200 - 499,1 - 23,15,39,384.61538461538464,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,0 - 1,12,163,73.61963190184049,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,1 - 23,20,163,122.69938650306749,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,189 - 648,10,163,61.34969325153374,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,200 - 499,0 - 1,21,89,235.95505617977528,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,200 - 499,1 - 23,35,89,393.2584269662922,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,0 - 1,13,356,36.51685393258427,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,1 - 23,24,356,67.41573033707866,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,24 - 144,17,356,47.752808988764045,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,189 - 648,23,356,64.60674157303372,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,200 - 499,0 - 1,54,385,140.25974025974025,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,200 - 499,1 - 23,54,385,140.25974025974025,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,200 - 499,24 - 144,24,385,62.33766233766234,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,0 - 1,54,1425,37.89473684210527,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,1 - 23,54,1425,37.89473684210527,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,24 - 144,54,1425,37.89473684210527,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,189 - 648,54,1425,37.89473684210527,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,672 - 8736,19,1425,13.333333333333334,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,1000 - 1499,24 - 144,10,1711,5.844535359438924,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,1000 - 1499,189 - 648,21,1711,12.27352425482174,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,0 - 1,54,299,180.6020066889632,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,1 - 23,54,299,180.6020066889632,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,24 - 144,15,299,50.16722408026756,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,189 - 648,13,299,43.47826086956522,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,0 - 1,42,1211,34.68208092485549,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,1 - 23,54,1211,44.59124690338563,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,24 - 144,51,1211,42.11395540875309,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,189 - 648,54,1211,44.59124690338563,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,672 - 8736,18,1211,14.86374896779521,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,1000 - 1499,24 - 144,14,1468,9.536784741144414,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,1000 - 1499,189 - 648,11,1468,7.493188010899182,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,200 - 499,0 - 1,54,366,147.54098360655738,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,200 - 499,1 - 23,54,366,147.54098360655738,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,200 - 499,24 - 144,20,366,54.6448087431694,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,0 - 1,49,1512,32.407407407407405,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,1 - 23,54,1512,35.714285714285715,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,24 - 144,54,1512,35.714285714285715,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,189 - 648,54,1512,35.714285714285715,1999
