Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
#Diseases of the circulatory system (I00-I99),20-24 years,12 years,2500 - 2999 grams,28 - 364 days,10.0,82446.0,0.12 (Unreliable),2003
#Diseases of the circulatory system (I00-I99),20-24 years,12 years,3000 - 3499 grams,28 - 364 days,12.0,169159.0,0.07 (Unreliable),2003
#Diseases of the circulatory system (I00-I99),25-29 years,12 years,500 - 999 grams,28 - 364 days,12.0,1748.0,6.88 (Unreliable),2003
#Diseases of the circulatory system (I00-I99),25-29 years,12 years,3000 - 3499 grams,28 - 364 days,10.0,114586.0,0.09 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,14.0,1607.0,8.75 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",15-19 years,9 - 11 years,1000 - 1499 grams,28 - 364 days,10.0,1827.0,5.49 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",15-19 years,9 - 11 years,2000 - 2499 grams,28 - 364 days,12.0,12734.0,0.95 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",15-19 years,9 - 11 years,2500 - 2999 grams,28 - 364 days,15.0,45728.0,0.33 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",15-19 years,9 - 11 years,3000 - 3499 grams,28 - 364 days,13.0,80436.0,0.16 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,9 - 11 years,2500 - 2999 grams,28 - 364 days,13.0,44782.0,0.29 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,9 - 11 years,3000 - 3499 grams,28 - 364 days,14.0,81927.0,0.17 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,9 - 11 years,3500 - 3999 grams,28 - 364 days,11.0,47403.0,0.23 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,12 years,500 - 999 grams,28 - 364 days,18.0,2456.0,7.37 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,12 years,2000 - 2499 grams,28 - 364 days,19.0,22116.0,0.86 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,12 years,2500 - 2999 grams,28 - 364 days,12.0,82446.0,0.15 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,12 years,3000 - 3499 grams,28 - 364 days,25.0,169159.0,0.15,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24 years,12 years,3500 - 3999 grams,28 - 364 days,15.0,107248.0,0.14 (Unreliable),2003
"Diseases of the respiratory system (J00-J98,U04)",30-34 years,12 years,500 - 999 grams,28 - 364 days,12.0,1306.0,9.23 (Unreliable),2003
#Influenza and pneumonia (J09-J18),20-24 years,9 - 11 years,3000 - 3499 grams,28 - 364 days,11.0,81927.0,0.13 (Unreliable),2003
#Influenza and pneumonia (J09-J18),20-24 years,12 years,2000 - 2499 grams,28 - 364 days,13.0,22116.0,0.59 (Unreliable),2003
#Influenza and pneumonia (J09-J18),20-24 years,12 years,3000 - 3499 grams,28 - 364 days,18.0,169159.0,0.11 (Unreliable),2003
Pneumonia (J12-J18),20-24 years,9 - 11 years,3000 - 3499 grams,28 - 364 days,11.0,81927.0,0.13 (Unreliable),2003
Pneumonia (J12-J18),20-24 years,12 years,2000 - 2499 grams,28 - 364 days,13.0,22116.0,0.59 (Unreliable),2003
Pneumonia (J12-J18),20-24 years,12 years,3000 - 3499 grams,28 - 364 days,14.0,169159.0,0.08 (Unreliable),2003
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,11.0,1607.0,6.88 (Unreliable),2003
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",20-24 years,12 years,500 - 999 grams,28 - 364 days,11.0,2456.0,4.50 (Unreliable),2003
Diseases of the digestive system (K00-K92),15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,23.0,1607.0,14.37,2003
Diseases of the digestive system (K00-K92),20-24 years,9 - 11 years,500 - 999 grams,28 - 364 days,15.0,1213.0,12.44 (Unreliable),2003
Diseases of the digestive system (K00-K92),20-24 years,12 years,500 - 999 grams,28 - 364 days,17.0,2456.0,6.95 (Unreliable),2003
Diseases of the digestive system (K00-K92),20-24 years,13 - 15 years,500 - 999 grams,28 - 364 days,18.0,1222.0,14.80 (Unreliable),2003
Diseases of the digestive system (K00-K92),25-29 years,12 years,500 - 999 grams,28 - 364 days,22.0,1748.0,12.65,2003
Diseases of the digestive system (K00-K92),25-29 years,13 - 15 years,500 - 999 grams,28 - 364 days,16.0,1306.0,12.30 (Unreliable),2003
Diseases of the digestive system (K00-K92),30-34 years,12 years,500 - 999 grams,28 - 364 days,15.0,1306.0,11.57 (Unreliable),2003
Diseases of the digestive system (K00-K92),30-34 years,13 - 15 years,500 - 999 grams,28 - 364 days,13.0,1115.0,11.72 (Unreliable),2003
Diseases of the digestive system (K00-K92),30-34 years,16 years and over,500 - 999 grams,28 - 364 days,13.0,1671.0,7.81 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,16.0,1607.0,9.99 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24 years,9 - 11 years,500 - 999 grams,28 - 364 days,10.0,1213.0,8.30 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24 years,12 years,500 - 999 grams,28 - 364 days,14.0,2456.0,5.73 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24 years,13 - 15 years,500 - 999 grams,28 - 364 days,14.0,1222.0,11.50 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",25-29 years,12 years,500 - 999 grams,28 - 364 days,13.0,1748.0,7.48 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",25-29 years,13 - 15 years,500 - 999 grams,28 - 364 days,13.0,1306.0,10.00 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34 years,12 years,500 - 999 grams,28 - 364 days,14.0,1306.0,10.80 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34 years,13 - 15 years,500 - 999 grams,28 - 364 days,10.0,1115.0,9.00 (Unreliable),2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34 years,16 years and over,500 - 999 grams,28 - 364 days,12.0,1671.0,7.20 (Unreliable),2003
Diseases of the genitourinary system (N00-N95),20-24 years,12 years,500 - 999 grams,28 - 364 days,10.0,2456.0,4.10 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),Under 15 years,0 -  8 years,499 grams or less,1 - 23 hours,10.0,21.0,480.04 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,0 -  8 years,499 grams or less,Under 1 hour,20.0,49.0,410.72,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,0 -  8 years,499 grams or less,1 - 23 hours,14.0,49.0,293.24 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,0 -  8 years,500 - 999 grams,1 - 23 hours,29.0,206.0,139.48,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,0 -  8 years,500 - 999 grams,1 - 6 days,14.0,206.0,68.50 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,499 grams or less,Under 1 hour,117.0,403.0,291.22,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,499 grams or less,1 - 23 hours,191.0,403.0,473.57,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,499 grams or less,1 - 6 days,12.0,403.0,30.06 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,500 - 999 grams,Under 1 hour,74.0,1607.0,46.05,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,500 - 999 grams,1 - 23 hours,160.0,1607.0,99.63,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,500 - 999 grams,1 - 6 days,92.0,1607.0,56.95,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,500 - 999 grams,7 - 27 days,96.0,1607.0,59.99,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,32.0,1607.0,20.0,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,1000 - 1499 grams,1 - 23 hours,13.0,1827.0,7.19 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,1000 - 1499 grams,1 - 6 days,15.0,1827.0,8.25 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,9 - 11 years,1000 - 1499 grams,7 - 27 days,24.0,1827.0,13.19,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,499 grams or less,Under 1 hour,78.0,282.0,276.57,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,499 grams or less,1 - 23 hours,127.0,282.0,449.35,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,499 grams or less,1 - 6 days,10.0,282.0,36.00 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,500 - 999 grams,Under 1 hour,45.0,995.0,44.97,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,500 - 999 grams,1 - 23 hours,77.0,995.0,77.77,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,500 - 999 grams,1 - 6 days,73.0,995.0,73.5,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,500 - 999 grams,7 - 27 days,56.0,995.0,56.44,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,500 - 999 grams,28 - 364 days,18.0,995.0,18.22 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,12 years,1000 - 1499 grams,7 - 27 days,13.0,1119.0,11.65 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,13 - 15 years,499 grams or less,Under 1 hour,16.0,47.0,343.47 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,13 - 15 years,499 grams or less,1 - 23 hours,19.0,47.0,408.96 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,13 - 15 years,500 - 999 grams,1 - 23 hours,15.0,162.0,93.41 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,Not stated/Not on certificate,499 grams or less,Under 1 hour,20.0,57.0,358.11,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,Not stated/Not on certificate,499 grams or less,1 - 23 hours,25.0,57.0,432.46,2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,Not stated/Not on certificate,500 - 999 grams,Under 1 hour,11.0,93.0,119.44 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),15-19 years,Not stated/Not on certificate,500 - 999 grams,1 - 23 hours,19.0,93.0,206.65 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,0 -  8 years,499 grams or less,Under 1 hour,20.0,55.0,369.01,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,0 -  8 years,499 grams or less,1 - 23 hours,20.0,55.0,369.26,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,0 -  8 years,500 - 999 grams,1 - 23 hours,24.0,219.0,111.86,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,0 -  8 years,500 - 999 grams,1 - 6 days,12.0,219.0,56.08 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,499 grams or less,Under 1 hour,82.0,346.0,236.2,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,499 grams or less,1 - 23 hours,170.0,346.0,491.8,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,499 grams or less,1 - 6 days,16.0,346.0,46.95 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,500 - 999 grams,Under 1 hour,53.0,1213.0,43.56,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,500 - 999 grams,1 - 23 hours,100.0,1213.0,82.24,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,500 - 999 grams,1 - 6 days,70.0,1213.0,58.02,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,500 - 999 grams,7 - 27 days,64.0,1213.0,52.99,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,500 - 999 grams,28 - 364 days,21.0,1213.0,17.42,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,1000 - 1499 grams,Under 1 hour,11.0,1620.0,6.94 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,1000 - 1499 grams,7 - 27 days,18.0,1620.0,11.17 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,9 - 11 years,1500 - 1999 grams,1 - 23 hours,11.0,3356.0,3.34 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,499 grams or less,Under 1 hour,207.0,733.0,283.02,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,499 grams or less,1 - 23 hours,321.0,733.0,437.45,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,499 grams or less,1 - 6 days,30.0,733.0,41.4,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,499 grams or less,7 - 27 days,11.0,733.0,15.07 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,500 - 999 grams,Under 1 hour,100.0,2456.0,40.58,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,500 - 999 grams,1 - 23 hours,187.0,2456.0,76.3,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,500 - 999 grams,1 - 6 days,139.0,2456.0,56.55,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,500 - 999 grams,7 - 27 days,126.0,2456.0,51.5,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,500 - 999 grams,28 - 364 days,36.0,2456.0,14.74,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1000 - 1499 grams,1 - 23 hours,24.0,2956.0,8.21,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1000 - 1499 grams,1 - 6 days,22.0,2956.0,7.52,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1000 - 1499 grams,7 - 27 days,27.0,2956.0,9.14,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1000 - 1499 grams,28 - 364 days,13.0,2956.0,4.43 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1500 - 1999 grams,1 - 23 hours,12.0,6427.0,1.87 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1500 - 1999 grams,1 - 6 days,14.0,6427.0,2.22 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,1500 - 1999 grams,7 - 27 days,15.0,6427.0,2.34 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,2000 - 2499 grams,7 - 27 days,12.0,22116.0,0.54 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,2500 - 2999 grams,1 - 6 days,11.0,82446.0,0.14 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,2500 - 2999 grams,7 - 27 days,18.0,82446.0,0.22 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,3000 - 3499 grams,1 - 6 days,12.0,169159.0,0.07 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,3000 - 3499 grams,7 - 27 days,18.0,169159.0,0.11 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,12 years,3500 - 3999 grams,1 - 6 days,10.0,107248.0,0.09 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,499 grams or less,Under 1 hour,104.0,361.0,288.42,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,499 grams or less,1 - 23 hours,151.0,361.0,418.53,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,499 grams or less,1 - 6 days,19.0,361.0,53.54 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,499 grams or less,7 - 27 days,10.0,361.0,27.76 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,500 - 999 grams,Under 1 hour,60.0,1222.0,48.85,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,500 - 999 grams,1 - 23 hours,115.0,1222.0,94.47,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,500 - 999 grams,1 - 6 days,63.0,1222.0,51.55,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,500 - 999 grams,7 - 27 days,71.0,1222.0,58.29,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,500 - 999 grams,28 - 364 days,21.0,1222.0,17.26,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,13 - 15 years,1000 - 1499 grams,7 - 27 days,17.0,1406.0,12.12 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,499 grams or less,Under 1 hour,22.0,92.0,242.13,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,499 grams or less,1 - 23 hours,31.0,92.0,340.44,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,500 - 999 grams,Under 1 hour,12.0,289.0,42.46 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,500 - 999 grams,1 - 23 hours,30.0,289.0,102.11,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,500 - 999 grams,1 - 6 days,19.0,289.0,67.00 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,16 years and over,500 - 999 grams,7 - 27 days,12.0,289.0,41.60 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,Not stated/Not on certificate,499 grams or less,Under 1 hour,51.0,119.0,425.87,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,Not stated/Not on certificate,499 grams or less,1 - 23 hours,46.0,119.0,390.59,2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,Not stated/Not on certificate,500 - 999 grams,Under 1 hour,19.0,148.0,131.11 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),20-24 years,Not stated/Not on certificate,500 - 999 grams,1 - 23 hours,33.0,148.0,221.2,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,0 -  8 years,499 grams or less,Under 1 hour,16.0,79.0,206.15 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,0 -  8 years,499 grams or less,1 - 23 hours,38.0,79.0,478.75,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,0 -  8 years,500 - 999 grams,1 - 23 hours,16.0,237.0,68.84 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,0 -  8 years,500 - 999 grams,7 - 27 days,12.0,237.0,50.95 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,499 grams or less,Under 1 hour,39.0,169.0,229.99,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,499 grams or less,1 - 23 hours,70.0,169.0,414.17,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,500 - 999 grams,Under 1 hour,16.0,608.0,27.05 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,500 - 999 grams,1 - 23 hours,42.0,608.0,69.63,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,500 - 999 grams,1 - 6 days,32.0,608.0,51.83,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,500 - 999 grams,7 - 27 days,39.0,608.0,64.36,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,9 - 11 years,500 - 999 grams,28 - 364 days,13.0,608.0,21.54 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,499 grams or less,Under 1 hour,166.0,528.0,314.59,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,499 grams or less,1 - 23 hours,206.0,528.0,389.37,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,499 grams or less,1 - 6 days,28.0,528.0,53.54,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,499 grams or less,7 - 27 days,11.0,528.0,20.92 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,500 - 999 grams,Under 1 hour,61.0,1748.0,34.88,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,500 - 999 grams,1 - 23 hours,141.0,1748.0,80.6,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,500 - 999 grams,1 - 6 days,105.0,1748.0,59.85,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,500 - 999 grams,7 - 27 days,105.0,1748.0,59.79,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,500 - 999 grams,28 - 364 days,34.0,1748.0,19.57,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,1000 - 1499 grams,1 - 23 hours,13.0,2146.0,6.14 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,1000 - 1499 grams,7 - 27 days,16.0,2146.0,7.49 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,1500 - 1999 grams,1 - 23 hours,10.0,4464.0,2.29 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,2000 - 2499 grams,1 - 6 days,10.0,14327.0,0.71 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,3000 - 3499 grams,1 - 6 days,11.0,114586.0,0.10 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,12 years,3000 - 3499 grams,7 - 27 days,10.0,114586.0,0.09 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,499 grams or less,Under 1 hour,114.0,401.0,285.52,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,499 grams or less,1 - 23 hours,176.0,401.0,439.86,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,499 grams or less,1 - 6 days,24.0,401.0,60.92,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,499 grams or less,7 - 27 days,16.0,401.0,40.06 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,500 - 999 grams,Under 1 hour,44.0,1306.0,33.43,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,500 - 999 grams,1 - 23 hours,103.0,1306.0,78.68,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,500 - 999 grams,1 - 6 days,66.0,1306.0,50.31,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,500 - 999 grams,7 - 27 days,76.0,1306.0,58.49,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,500 - 999 grams,28 - 364 days,19.0,1306.0,14.65 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,1000 - 1499 grams,7 - 27 days,15.0,1620.0,9.28 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,13 - 15 years,1500 - 1999 grams,1 - 6 days,13.0,3501.0,3.79 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,499 grams or less,Under 1 hour,95.0,291.0,326.95,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,499 grams or less,1 - 23 hours,119.0,291.0,410.07,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,500 - 999 grams,Under 1 hour,34.0,1182.0,29.03,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,500 - 999 grams,1 - 23 hours,81.0,1182.0,68.67,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,500 - 999 grams,1 - 6 days,62.0,1182.0,52.48,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,500 - 999 grams,7 - 27 days,54.0,1182.0,45.82,2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,1000 - 1499 grams,1 - 6 days,10.0,1572.0,6.48 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,16 years and over,3000 - 3499 grams,1 - 6 days,10.0,110957.0,0.09 (Unreliable),2003
Certain conditions originating in the perinatal period (P00-P96),25-29 years,Not stated/Not on certificate,499 grams or less,Under 1 hour,50.0,128.0,387.91,2003
