Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
#Influenza and pneumonia (J09-J18),20-24,High School Graduate,3000 - 3499,28 - 364,18.0,31463,0.11,2003
Pneumonia (J12-J18),20-24,High School Incomplete,3000 - 3499,28 - 364,11.0,31463,0.13,2003
Pneumonia (J12-J18),20-24,High School Graduate,2000 - 2499,28 - 364,13.0,22116,0.59,2003
Pneumonia (J12-J18),20-24,High School Graduate,3000 - 3499,28 - 364,14.0,31463,0.08,2003
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",15-19,High School Incomplete,500 - 999,28 - 364,11.0,1607,6.88,2003
"Other and unspecified diseases of respiratory system (J22,J30-J39,J43-J44,J47-J68,J70-J98,U04)",20-24,High School Graduate,500 - 999,28 - 364,11.0,2456,4.5,2003
Diseases of the digestive system (K00-K92),15-19,High School Incomplete,500 - 999,28 - 364,23.0,1607,14.37,2003
Diseases of the digestive system (K00-K92),20-24,High School Incomplete,500 - 999,28 - 364,15.0,1213,12.44,2003
Diseases of the digestive system (K00-K92),20-24,High School Graduate,500 - 999,28 - 364,17.0,2456,6.95,2003
Diseases of the digestive system (K00-K92),20-24,Some College Education,500 - 999,28 - 364,18.0,1222,14.8,2003
Diseases of the digestive system (K00-K92),25-29,High School Graduate,500 - 999,28 - 364,22.0,1748,12.65,2003
Diseases of the digestive system (K00-K92),25-29,Some College Education,500 - 999,28 - 364,16.0,1306,12.3,2003
Diseases of the digestive system (K00-K92),30-34,High School Graduate,500 - 999,28 - 364,15.0,1306,11.57,2003
Diseases of the digestive system (K00-K92),30-34,Some College Education,500 - 999,28 - 364,13.0,1115,11.72,2003
Diseases of the digestive system (K00-K92),30-34,College Graduate or Higher,500 - 999,28 - 364,13.0,1671,7.81,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",15-19,High School Incomplete,500 - 999,28 - 364,16.0,1607,9.99,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24,High School Incomplete,500 - 999,28 - 364,10.0,1213,8.3,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24,High School Graduate,500 - 999,28 - 364,14.0,2456,5.73,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",20-24,Some College Education,500 - 999,28 - 364,14.0,1222,11.5,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",25-29,High School Graduate,500 - 999,28 - 364,13.0,1748,7.48,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",25-29,Some College Education,500 - 999,28 - 364,13.0,1306,10.0,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34,High School Graduate,500 - 999,28 - 364,14.0,1306,10.8,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34,Some College Education,500 - 999,28 - 364,10.0,1115,9.0,2003
"#Gastritis, duodenitis, and noninfective enteritis and colitis (K29,K50-K55)",30-34,College Graduate or Higher,500 - 999,28 - 364,12.0,1671,7.2,2003
Diseases of the genitourinary system (N00-N95),20-24,High School Graduate,500 - 999,28 - 364,10.0,2456,4.1,2003
Certain conditions originating in the perinatal period (P00-P96),Under 15,0 -  8 years,499 or less,1 - 23 hours,10.0,21,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,0 -  8 years,499 or less,Under 1 hour,20.0,49,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,0 -  8 years,499 or less,1 - 23 hours,14.0,49,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,0 -  8 years,500 - 999,1 - 23 hours,29.0,206,139.48,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,0 -  8 years,500 - 999,1 - 6,14.0,206,68.5,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,499 or less,Under 1 hour,54.5,403,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,499 or less,1 - 23 hours,54.5,403,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,499 or less,1 - 6,12.0,403,30.06,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,500 - 999,Under 1 hour,54.5,1607,46.05,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,500 - 999,1 - 23 hours,54.5,1607,99.63,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,500 - 999,1 - 6,54.5,1607,56.95,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,500 - 999,7 - 27,54.5,1607,59.99,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,500 - 999,28 - 364,32.0,1607,20.0,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,1000 - 1499,1 - 23 hours,13.0,1827,7.19,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,1000 - 1499,1 - 6,15.0,1827,8.25,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Incomplete,1000 - 1499,7 - 27,24.0,1827,13.19,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,499 or less,Under 1 hour,54.5,282,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,499 or less,1 - 23 hours,54.5,282,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,499 or less,1 - 6,10.0,282,36.0,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,500 - 999,Under 1 hour,45.0,995,44.97,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,500 - 999,1 - 23 hours,54.5,995,77.77,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,500 - 999,1 - 6,54.5,995,73.5,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,500 - 999,7 - 27,54.5,995,56.44,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,500 - 999,28 - 364,18.0,995,18.22,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,High School Graduate,1000 - 1499,7 - 27,13.0,1119,11.65,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Some College Education,499 or less,Under 1 hour,16.0,47,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Some College Education,499 or less,1 - 23 hours,19.0,47,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Some College Education,500 - 999,1 - 23 hours,15.0,162,93.41,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Not Stated,499 or less,Under 1 hour,20.0,57,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Not Stated,499 or less,1 - 23 hours,25.0,57,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Not Stated,500 - 999,Under 1 hour,11.0,93,119.44,2003
Certain conditions originating in the perinatal period (P00-P96),15-19,Not Stated,500 - 999,1 - 23 hours,19.0,93,206.65,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,0 -  8 years,499 or less,Under 1 hour,20.0,55,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,0 -  8 years,499 or less,1 - 23 hours,20.0,55,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,0 -  8 years,500 - 999,1 - 23 hours,24.0,219,111.86,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,0 -  8 years,500 - 999,1 - 6,12.0,219,56.08,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,499 or less,Under 1 hour,54.5,346,236.2,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,499 or less,1 - 23 hours,54.5,346,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,499 or less,1 - 6,16.0,346,46.95,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,500 - 999,Under 1 hour,53.0,1213,43.56,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,500 - 999,1 - 23 hours,54.5,1213,82.24,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,500 - 999,1 - 6,54.5,1213,58.02,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,500 - 999,7 - 27,54.5,1213,52.99,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,500 - 999,28 - 364,21.0,1213,17.42,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,1000 - 1499,Under 1 hour,11.0,1620,6.94,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,1000 - 1499,7 - 27,18.0,1620,11.17,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Incomplete,1500 - 1999,1 - 23 hours,11.0,3356,3.34,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,499 or less,Under 1 hour,54.5,733,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,499 or less,1 - 23 hours,54.5,733,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,499 or less,1 - 6,30.0,733,41.4,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,499 or less,7 - 27,11.0,733,15.07,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,500 - 999,Under 1 hour,54.5,2456,40.58,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,500 - 999,1 - 23 hours,54.5,2456,76.3,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,500 - 999,1 - 6,54.5,2456,56.55,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,500 - 999,7 - 27,54.5,2456,51.5,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,500 - 999,28 - 364,36.0,2456,14.74,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1000 - 1499,1 - 23 hours,24.0,2956,8.21,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1000 - 1499,1 - 6,22.0,2956,7.52,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1000 - 1499,7 - 27,27.0,2956,9.14,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1000 - 1499,28 - 364,13.0,2956,4.43,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1500 - 1999,1 - 23 hours,12.0,6427,1.87,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1500 - 1999,1 - 6,14.0,6427,2.22,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,1500 - 1999,7 - 27,15.0,6427,2.34,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,2000 - 2499,7 - 27,12.0,22116,0.54,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,2500 - 2999,1 - 6,11.0,31463,0.14,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,2500 - 2999,7 - 27,18.0,31463,0.22,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,3000 - 3499,1 - 6,12.0,31463,0.07,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,3000 - 3499,7 - 27,18.0,31463,0.11,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,High School Graduate,3500 - 3999,1 - 6,10.0,31463,0.09,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,499 or less,Under 1 hour,54.5,361,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,499 or less,1 - 23 hours,54.5,361,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,499 or less,1 - 6,19.0,361,53.54,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,499 or less,7 - 27,10.0,361,27.76,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,500 - 999,Under 1 hour,54.5,1222,48.85,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,500 - 999,1 - 23 hours,54.5,1222,94.47,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,500 - 999,1 - 6,54.5,1222,51.55,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,500 - 999,7 - 27,54.5,1222,58.29,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,500 - 999,28 - 364,21.0,1222,17.26,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Some College Education,1000 - 1499,7 - 27,17.0,1406,12.12,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,499 or less,Under 1 hour,22.0,92,242.13,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,499 or less,1 - 23 hours,31.0,92,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,500 - 999,Under 1 hour,12.0,289,42.46,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,500 - 999,1 - 23 hours,30.0,289,102.11,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,500 - 999,1 - 6,19.0,289,67.0,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,College Graduate or Higher,500 - 999,7 - 27,12.0,289,41.6,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Not Stated,499 or less,Under 1 hour,51.0,119,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Not Stated,499 or less,1 - 23 hours,46.0,119,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Not Stated,500 - 999,Under 1 hour,19.0,148,131.11,2003
Certain conditions originating in the perinatal period (P00-P96),20-24,Not Stated,500 - 999,1 - 23 hours,33.0,148,221.2,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,0 -  8 years,499 or less,Under 1 hour,16.0,79,206.15,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,0 -  8 years,499 or less,1 - 23 hours,38.0,79,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,0 -  8 years,500 - 999,1 - 23 hours,16.0,237,68.84,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,0 -  8 years,500 - 999,7 - 27,12.0,237,50.95,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,499 or less,Under 1 hour,39.0,169,229.99,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,499 or less,1 - 23 hours,54.5,169,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,500 - 999,Under 1 hour,16.0,608,27.05,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,500 - 999,1 - 23 hours,42.0,608,69.63,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,500 - 999,1 - 6,32.0,608,51.83,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,500 - 999,7 - 27,39.0,608,64.36,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Incomplete,500 - 999,28 - 364,13.0,608,21.54,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,499 or less,Under 1 hour,54.5,528,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,499 or less,1 - 23 hours,54.5,528,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,499 or less,1 - 6,28.0,528,53.54,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,499 or less,7 - 27,11.0,528,20.92,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,500 - 999,Under 1 hour,54.5,1748,34.88,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,500 - 999,1 - 23 hours,54.5,1748,80.6,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,500 - 999,1 - 6,54.5,1748,59.85,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,500 - 999,7 - 27,54.5,1748,59.79,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,500 - 999,28 - 364,34.0,1748,19.57,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,1000 - 1499,1 - 23 hours,13.0,2146,6.14,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,1000 - 1499,7 - 27,16.0,2146,7.49,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,1500 - 1999,1 - 23 hours,10.0,4464,2.29,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,2000 - 2499,1 - 6,10.0,14327,0.71,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,3000 - 3499,1 - 6,11.0,31463,0.1,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,High School Graduate,3000 - 3499,7 - 27,10.0,31463,0.09,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,499 or less,Under 1 hour,54.5,401,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,499 or less,1 - 23 hours,54.5,401,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,499 or less,1 - 6,24.0,401,60.92,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,499 or less,7 - 27,16.0,401,40.06,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,500 - 999,Under 1 hour,44.0,1306,33.43,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,500 - 999,1 - 23 hours,54.5,1306,78.68,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,500 - 999,1 - 6,54.5,1306,50.31,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,500 - 999,7 - 27,54.5,1306,58.49,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,500 - 999,28 - 364,19.0,1306,14.65,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,1000 - 1499,7 - 27,15.0,1620,9.28,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Some College Education,1500 - 1999,1 - 6,13.0,3501,3.79,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,499 or less,Under 1 hour,54.5,291,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,499 or less,1 - 23 hours,54.5,291,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,500 - 999,Under 1 hour,34.0,1182,29.03,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,500 - 999,1 - 23 hours,54.5,1182,68.67,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,500 - 999,1 - 6,54.5,1182,52.48,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,500 - 999,7 - 27,54.0,1182,45.82,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,1000 - 1499,1 - 6,10.0,1572,6.48,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,College Graduate or Higher,3000 - 3499,1 - 6,10.0,31463,0.09,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Not Stated,499 or less,Under 1 hour,50.0,128,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Not Stated,499 or less,1 - 23 hours,44.0,128,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Not Stated,500 - 999,Under 1 hour,11.0,155,72.18,2003
Certain conditions originating in the perinatal period (P00-P96),25-29,Not Stated,500 - 999,1 - 23 hours,30.0,155,191.57,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,0 -  8 years,499 or less,Under 1 hour,13.0,48,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,0 -  8 years,499 or less,1 - 23 hours,25.0,48,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,0 -  8 years,500 - 999,1 - 23 hours,16.0,185,88.85,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,0 -  8 years,500 - 999,7 - 27,14.0,185,75.89,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,499 or less,Under 1 hour,31.0,128,245.34,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,499 or less,1 - 23 hours,54.5,128,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,500 - 999,Under 1 hour,15.0,345,44.52,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,500 - 999,1 - 23 hours,33.0,345,94.64,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,500 - 999,1 - 6,14.0,345,41.57,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,500 - 999,7 - 27,23.0,345,66.94,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Incomplete,500 - 999,28 - 364,11.0,345,32.13,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,499 or less,Under 1 hour,54.5,402,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,499 or less,1 - 23 hours,54.5,402,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,499 or less,1 - 6,24.0,402,60.33,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,500 - 999,Under 1 hour,54.5,1306,45.9,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,500 - 999,1 - 23 hours,54.5,1306,91.87,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,500 - 999,1 - 6,54.5,1306,49.59,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,500 - 999,7 - 27,49.0,1306,37.66,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,500 - 999,28 - 364,20.0,1306,15.41,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,High School Graduate,1000 - 1499,1 - 23 hours,10.0,1541,6.57,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,499 or less,Under 1 hour,54.5,317,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,499 or less,1 - 23 hours,54.5,317,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,499 or less,1 - 6,18.0,317,57.33,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,499 or less,7 - 27,14.0,317,44.24,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,500 - 999,Under 1 hour,47.0,1115,41.95,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,500 - 999,1 - 23 hours,54.5,1115,68.97,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,500 - 999,1 - 6,50.0,1115,44.58,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,500 - 999,7 - 27,54.5,1115,54.0,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,500 - 999,28 - 364,21.0,1115,18.92,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,Some College Education,3000 - 3499,7 - 27,10.0,31463,0.14,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,College Graduate or Higher,499 or less,Under 1 hour,54.5,502,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,College Graduate or Higher,499 or less,1 - 23 hours,54.5,502,261.32,2003
Certain conditions originating in the perinatal period (P00-P96),30-34,College Graduate or Higher,499 or less,1 - 6,15.0,502,30.16,2003
