Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
Certain conditions originating in the perinatal period,15-19,High School Graduate,200 - 499,24 - 144,20,267,76.13,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,0 - 1,50,1136,44.37,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,24 - 144,62,1136,54.27,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,189 - 648,54,1136,47.17,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,500 - 999,672 - 8736,21,1136,18.72,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,1000 - 1499,189 - 648,24,1324,18.29,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,1500 - 1999,1 - 23,10,2665,3.92,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,200 - 499,0 - 1,12,50,246.36,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,200 - 499,1 - 23,17,50,345.85,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,500 - 999,1 - 23,20,165,118.62,1999
Certain conditions originating in the perinatal period,15-19,Some College Education,500 - 999,189 - 648,11,165,68.24,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,0 - 1,20,137,147.98,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,1 - 23,28,137,201.73,1999
Certain conditions originating in the perinatal period,15-19,Not Stated,500 - 999,24 - 144,12,137,84.24,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,200 - 499,0 - 1,18,49,357.32,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,500 - 999,1 - 23,14,223,64.44,1999
Certain conditions originating in the perinatal period,20-24,Elementary School or Less,500 - 999,24 - 144,18,223,79.18,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,200 - 499,0 - 1,93,313,296.22,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,200 - 499,24 - 144,13,313,42.79,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,0 - 1,42,1179,35.98,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,1 - 23,87,1179,73.44,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,24 - 144,57,1179,47.95,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,189 - 648,51,1179,42.9,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,500 - 999,672 - 8736,22,1179,19.0,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,1000 - 1499,189 - 648,10,1465,6.89,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,1500 - 1999,1 - 23,11,3224,3.49,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,2500 - 2999,24 - 144,10,41340,0.25,1999
Certain conditions originating in the perinatal period,20-24,High School Incomplete,2500 - 2999,189 - 648,11,41340,0.27,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,24 - 144,36,694,51.47,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,200 - 499,189 - 648,18,694,26.26,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,500 - 999,672 - 8736,43,2490,17.14,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,1 - 23,24,2946,8.26,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,24 - 144,24,2946,8.09,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1000 - 1499,189 - 648,22,2946,7.56,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1500 - 1999,1 - 23,18,6162,2.86,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,1500 - 1999,189 - 648,10,6162,1.64,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2000 - 2499,24 - 144,15,20741,0.74,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2000 - 2499,189 - 648,12,20741,0.59,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2500 - 2999,24 - 144,15,78339,0.2,1999
Certain conditions originating in the perinatal period,20-24,High School Graduate,2500 - 2999,189 - 648,10,78339,0.13,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,0 - 1,46,1238,37.55,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,1 - 23,88,1238,71.07,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,24 - 144,69,1238,55.8,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,189 - 648,60,1238,48.25,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,500 - 999,672 - 8736,18,1238,14.79,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,1000 - 1499,189 - 648,10,1436,7.03,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,2500 - 2999,189 - 648,10,37567,0.27,1999
Certain conditions originating in the perinatal period,20-24,Some College Education,3000 - 3499,189 - 648,13,87120,0.15,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,200 - 499,0 - 1,15,63,243.77,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,0 - 1,12,240,51.21,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,1 - 23,18,240,76.71,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,24 - 144,19,240,80.79,1999
Certain conditions originating in the perinatal period,20-24,College Graduate or Higher,500 - 999,189 - 648,11,240,46.14,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,200 - 499,0 - 1,42,129,326.94,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,0 - 1,28,184,150.01,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,1 - 23,47,184,252.74,1999
Certain conditions originating in the perinatal period,20-24,Not Stated,500 - 999,24 - 144,15,184,83.9,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,200 - 499,0 - 1,14,57,251.36,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,0 - 1,13,197,68.19,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,1 - 23,16,197,83.2,1999
Certain conditions originating in the perinatal period,25-29,Elementary School or Less,500 - 999,24 - 144,10,197,52.59,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,200 - 499,0 - 1,31,135,228.6,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,0 - 1,22,609,35.89,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,1 - 23,49,609,80.76,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,24 - 144,35,609,57.24,1999
Certain conditions originating in the perinatal period,25-29,High School Incomplete,500 - 999,189 - 648,34,609,56.5,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,24 - 144,25,544,45.14,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,200 - 499,189 - 648,13,544,24.0,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,0 - 1,72,1908,37.75,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,24 - 144,102,1908,53.71,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,189 - 648,96,1908,50.21,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,500 - 999,672 - 8736,34,1908,17.65,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,1 - 23,12,2347,5.26,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,24 - 144,18,2347,7.47,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1000 - 1499,189 - 648,22,2347,9.46,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1500 - 1999,24 - 144,10,4779,2.14,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,1500 - 1999,189 - 648,10,4779,2.12,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,1 - 23,13,52802,0.25,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,24 - 144,12,52802,0.23,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,2500 - 2999,189 - 648,10,52802,0.19,1999
Certain conditions originating in the perinatal period,25-29,High School Graduate,3500 - 3999,189 - 648,13,96906,0.13,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,24 - 144,16,398,40.82,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,200 - 499,189 - 648,13,398,32.96,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,0 - 1,52,1455,35.82,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,24 - 144,76,1455,52.23,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,189 - 648,83,1455,56.88,1999
Certain conditions originating in the perinatal period,25-29,Some College Education,500 - 999,672 - 8736,18,1455,12.48,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,0 - 1,63,280,223.34,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,24 - 144,22,280,79.09,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,200 - 499,189 - 648,11,280,40.18,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,0 - 1,37,1192,31.37,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,1 - 23,91,1192,76.73,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,24 - 144,66,1192,55.19,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,189 - 648,67,1192,56.09,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,500 - 999,672 - 8736,17,1192,14.4,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1000 - 1499,1 - 23,13,1556,8.66,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1000 - 1499,24 - 144,10,1556,6.69,1999
Certain conditions originating in the perinatal period,25-29,College Graduate or Higher,1500 - 1999,24 - 144,12,3323,3.67,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,200 - 499,0 - 1,43,121,357.52,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,200 - 499,1 - 23,42,121,350.73,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,0 - 1,15,197,78.19,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,1 - 23,56,197,282.11,1999
Certain conditions originating in the perinatal period,25-29,Not Stated,500 - 999,24 - 144,16,197,79.8,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,0 - 1,12,163,70.74,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,1 - 23,20,163,119.69,1999
Certain conditions originating in the perinatal period,30-34,Elementary School or Less,500 - 999,189 - 648,10,163,61.77,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,200 - 499,0 - 1,21,89,231.55,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,0 - 1,13,356,37.71,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,1 - 23,24,356,66.6,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,24 - 144,17,356,48.79,1999
Certain conditions originating in the perinatal period,30-34,High School Incomplete,500 - 999,189 - 648,23,356,65.2,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,200 - 499,24 - 144,24,385,61.7,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,0 - 1,54,1425,38.11,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,24 - 144,72,1425,50.64,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,189 - 648,80,1425,56.12,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,500 - 999,672 - 8736,19,1425,13.62,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,1000 - 1499,24 - 144,10,1711,5.98,1999
Certain conditions originating in the perinatal period,30-34,High School Graduate,1000 - 1499,189 - 648,21,1711,12.45,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,0 - 1,89,299,298.76,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,24 - 144,15,299,51.18,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,200 - 499,189 - 648,13,299,43.79,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,0 - 1,42,1211,34.61,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,1 - 23,100,1211,82.23,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,24 - 144,51,1211,42.15,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,189 - 648,60,1211,49.19,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,500 - 999,672 - 8736,18,1211,15.09,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,1000 - 1499,24 - 144,14,1468,9.85,1999
Certain conditions originating in the perinatal period,30-34,Some College Education,1000 - 1499,189 - 648,11,1468,7.55,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,200 - 499,24 - 144,20,366,53.43,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,0 - 1,49,1512,32.56,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,24 - 144,87,1512,57.43,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,189 - 648,65,1512,43.29,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,500 - 999,672 - 8736,15,1512,10.13,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,1000 - 1499,1 - 23,11,2153,5.22,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,1000 - 1499,24 - 144,22,2153,10.4,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,1000 - 1499,189 - 648,18,2153,8.43,1999
Certain conditions originating in the perinatal period,30-34,College Graduate or Higher,2500 - 2999,24 - 144,12,47487,0.26,1999
Certain conditions originating in the perinatal period,30-34,Not Stated,200 - 499,0 - 1,43,133,324.78,1999
Certain conditions originating in the perinatal period,30-34,Not Stated,500 - 999,0 - 1,25,192,128.0,1999
Certain conditions originating in the perinatal period,30-34,Not Stated,500 - 999,1 - 23,39,192,203.02,1999
Certain conditions originating in the perinatal period,30-34,Not Stated,500 - 999,24 - 144,11,192,58.28,1999
Certain conditions originating in the perinatal period,35-39,Elementary School or Less,500 - 999,1 - 23,15,108,134.59,1999
Certain conditions originating in the perinatal period,35-39,High School Incomplete,200 - 499,0 - 1,13,43,290.77,1999
Certain conditions originating in the perinatal period,35-39,High School Incomplete,200 - 499,1 - 23,11,43,261.47,1999
Certain conditions originating in the perinatal period,35-39,High School Incomplete,500 - 999,1 - 23,15,200,72.84,1999
Certain conditions originating in the perinatal period,35-39,High School Incomplete,500 - 999,24 - 144,10,200,51.7,1999
Certain conditions originating in the perinatal period,35-39,High School Incomplete,500 - 999,189 - 648,13,200,66.24,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,200 - 499,0 - 1,56,215,258.47,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,500 - 999,0 - 1,33,797,41.43,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,500 - 999,1 - 23,56,797,69.71,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,500 - 999,24 - 144,43,797,54.22,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,500 - 999,189 - 648,25,797,31.86,1999
Certain conditions originating in the perinatal period,35-39,High School Graduate,500 - 999,672 - 8736,10,797,12.92,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,200 - 499,0 - 1,58,166,352.05,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,500 - 999,0 - 1,22,630,34.82,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,500 - 999,1 - 23,41,630,65.09,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,500 - 999,24 - 144,42,630,67.42,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,500 - 999,189 - 648,36,630,57.74,1999
Certain conditions originating in the perinatal period,35-39,Some College Education,500 - 999,672 - 8736,12,630,19.43,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,200 - 499,0 - 1,65,218,297.34,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,200 - 499,24 - 144,13,218,61.22,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,500 - 999,0 - 1,36,865,41.52,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,500 - 999,1 - 23,62,865,71.57,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,500 - 999,24 - 144,33,865,38.42,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,500 - 999,189 - 648,31,865,36.38,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,500 - 999,672 - 8736,15,865,17.89,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,1000 - 1499,24 - 144,11,1289,8.81,1999
Certain conditions originating in the perinatal period,35-39,College Graduate or Higher,3000 - 3499,24 - 144,15,64277,0.24,1999
Certain conditions originating in the perinatal period,35-39,Not Stated,200 - 499,0 - 1,30,99,301.27,1999
Certain conditions originating in the perinatal period,35-39,Not Stated,500 - 999,0 - 1,12,101,122.47,1999
Certain conditions originating in the perinatal period,35-39,Not Stated,500 - 999,1 - 23,21,101,212.82,1999
Certain conditions originating in the perinatal period,40-44,High School Graduate,200 - 499,0 - 1,14,55,258.79,1999
Certain conditions originating in the perinatal period,40-44,High School Graduate,500 - 999,1 - 23,16,161,102.44,1999
Certain conditions originating in the perinatal period,40-44,Some College Education,200 - 499,0 - 1,10,31,331.27,1999
Certain conditions originating in the perinatal period,40-44,College Graduate or Higher,500 - 999,1 - 23,19,213,87.64,1999
Certain conditions originating in the perinatal period,40-44,College Graduate or Higher,500 - 999,189 - 648,12,213,56.93,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Incomplete,200 - 499,0 - 1,41,467,87.8,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Incomplete,200 - 499,1 - 23,44,467,94.33,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Incomplete,500 - 999,0 - 1,24,1927,12.25,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Incomplete,500 - 999,1 - 23,20,1927,10.14,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Graduate,200 - 499,0 - 1,25,267,92.62,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Graduate,200 - 499,1 - 23,24,267,89.13,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,High School Graduate,500 - 999,1 - 23,15,1136,13.42,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",15-19,Not Stated,200 - 499,1 - 23,11,67,170.49,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Incomplete,200 - 499,0 - 1,32,313,102.96,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Incomplete,200 - 499,1 - 23,27,313,85.08,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Incomplete,500 - 999,0 - 1,13,1179,10.75,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Incomplete,500 - 999,1 - 23,12,1179,9.76,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Graduate,200 - 499,0 - 1,62,694,88.89,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Graduate,200 - 499,1 - 23,80,694,115.09,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Graduate,500 - 999,0 - 1,29,2490,11.84,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,High School Graduate,500 - 999,1 - 23,48,2490,19.1,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Some College Education,200 - 499,0 - 1,29,333,86.4,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Some College Education,200 - 499,1 - 23,42,333,127.13,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Some College Education,500 - 999,0 - 1,16,1238,12.76,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Some College Education,500 - 999,1 - 23,20,1238,16.48,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Not Stated,200 - 499,0 - 1,15,129,119.83,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",20-24,Not Stated,200 - 499,1 - 23,13,129,102.92,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",25-29,Elementary School or Less,200 - 499,1 - 23,11,57,201.32,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",25-29,High School Incomplete,200 - 499,1 - 23,15,135,114.45,1999
"Affected by maternal factors and by complications of pregnancy, labor and delivery",25-29,High School Incomplete,500 - 999,1 - 23,14,609,23.23,1999
